article_id,entreprise,prompt_version,statut,note_llm,justification,texte_extrait
30326,AIR LIQUIDE,v2,ok,1,La phrase 'Air Liquide inaugure un site clé pour les …' ne contient aucun fait concret positif ou négatif spécifique à l'entreprise. Elle est simplement une citation indiquant un événement sans plus de détails.,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.65% jeudi 26 mars 2026 à 09900  (BFM Bourse) - Après avoir fini en hausse de +1.33% à 7846.5498 points lors de sa dernière séance, leCAC 40..."
30124,AIR LIQUIDE,v2,ok,1,"Les phrases mentionnent que Air Liquide monte de près de 2% après avoir déclaré prévoir d'allouer des volumes d'hélium provenant d'autres régions du monde, mais ce n'est pas un fait concret positif spécifique à l'entreprise. Il s'agit plutôt d'une information factuelle sans indication claire d'un événement positif.","Wall Street vue en hausse, l'Europe rebondit aussi, espoirs d'une fin imminente de la guerre en Iran Pré-ouverture  par Claude Chendjou PARIS, 25 mars (Reuters) - Wall Street est attendue en hausse me..."
29943,AIR LIQUIDE,v2,ok,2,"Air Liquide a affiché une progression de 2,17% dans le principal indice parisien, ce qui constitue un fait concret et spécifique positif pour l'entreprise.",L'Europe boursière s'en sort bien dans un climat géopolitique toujours pesant Fermeture  (Zonebourse.com) - Les marchés actions européens ont terminé cette séance de mardi sur une meilleure note qu'es...
24666,AIR LIQUIDE,v2,ok,2,"Air Liquide améliore sa marge opérationnelle en 2025, ce qui est un fait concret et positif spécifique à l'entreprise.","Cac 40: L’indice parisien a ouvert la séance en baisse de -0.22% lundi 23 février 2026 à 09h00  (BFM Bourse) - Après avoir fini en hausse de +1.39% à 8515.4902 points lors de sa dernière séance, leCAC..."
24099,AIR LIQUIDE,v2,ok,2,"La phrase 'La plus forte hausse du CAC 40 est toutefois enregistrée par Air Liquide (+3,9%). Le spécialiste des gaz industriels a livré des résultats légèrement supérieurs aux attentes, rehaussé le dividende et a livré un nouvel objectif d'accroissement des marges pour 2027.' mentionne explicitement une bonne nouvelle spécifique à Air Liquide (hausse de résultats, rehausse du dividende et nouvel objectif d'accretion de marge).","Cac 40: Porté par le luxe et Air Liquide, le CAC 40 grimpe et signe un nouveau record vendredi 20 février 2026 à 11h37  (BFM Bourse) - L'indice parisien gagne du terrain à la mi-séance de ce vendredi ..."
24097,AIR LIQUIDE,v2,ok,2,"L'article mentionne une hausse de plus de 12% du dividende, ce qui est un fait concret et spécifique à Air Liquide constituant une bonne nouvelle pour les actionnaires.","Air liquide: Croissance qui accélère, dividende en hausse, marge qui grimpera encore en 2026 et en 2027… La valeur phare des petits porteurs Air Liquide prend 4% vendredi 20 février 2026 à 16h28  (BFM..."
24095,AIR LIQUIDE,v2,ok,2,"La phrase mentionne que 'Air Liquide a livré des résultats légèrement supérieurs aux attentes, rehaussé le dividende et a livré un nouvel objectif d'accroissement des marges pour 2027', ce qui est un fait concret positif spécifique à Air Liquide.","Cac 40: L'annulation par la Cour Suprême américaine des droits de douane réciproques, le luxe et Air Liquide catapultent le CAC 40 au-dessus des 8.500 points vendredi 20 février 2026 à 17h58  (BFM Bou..."
24077,AIR LIQUIDE,v2,ok,2,"Air Liquide a dépassé les attentes en 2025, ce qui est une bonne nouvelle pour l'entreprise.","Wall Street vue prudente, l'Europe avance avec le luxe et les données du secteur privé Pré-ouverture  par Diana Mandia 20 février (Reuters) - Wall Street est attendue sur une note prudente et les Bour..."
24040,AIR LIQUIDE,v2,ok,2,"Air Liquide a dévoilé un bon exercice 2025 et des perspectives favorables, notamment en se disant confiant pour augmenter sa marge opérationnelle de 100 points de base et réaliser une croissance du résultat net récurrent à taux de change constant.","(Zonebourse.com) - Les Bourses européennes ont clôturé la semaine sur une note positive après une nouvelle salve de résultats d'entreprises. Le CAC 40 a battu ses records à la clôture en gagnant 1,39%..."
24036,AIR LIQUIDE,v2,ok,2,"La phrase mentionne que 'Air Liquide a indiqué vendredi s'attendre pour 2026 à une nouvelle progression de ses principaux indicateurs de performance', ce qui est un fait concret et positif spécifique à Air Liquide.","(Agefi-Dow Jones)--Les Bourses européennes se sont redressées vendredi, bénéficiant de l'invalidation d'une grande partie des tarifs douaniers de Donald Trump par la Cour suprême et de la publication ..."
