article_id,entreprise,prompt_version,statut,note_llm,justification,texte_extrait
30326,AIR LIQUIDE,v2,ok,1,L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Air Liquide.,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.65% jeudi 26 mars 2026 à 09900  (BFM Bourse) - Après avoir fini en hausse de +1.33% à 7846.5498 points lors de sa dernière séance, leCAC 40..."
30124,AIR LIQUIDE,v2,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide n'est identifiable dans l'article.,"Wall Street vue en hausse, l'Europe rebondit aussi, espoirs d'une fin imminente de la guerre en Iran Pré-ouverture  par Claude Chendjou PARIS, 25 mars (Reuters) - Wall Street est attendue en hausse me..."
29943,AIR LIQUIDE,v2,ok,1,Il n'y a pas de fait concret positif ou négatif spécifique à Air Liquide dans l'article.,L'Europe boursière s'en sort bien dans un climat géopolitique toujours pesant Fermeture  (Zonebourse.com) - Les marchés actions européens ont terminé cette séance de mardi sur une meilleure note qu'es...
24666,AIR LIQUIDE,v2,ok,1,L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Air Liquide concernant une amélioration de la marge opérationnelle.,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.22% lundi 23 février 2026 à 09h00  (BFM Bourse) - Après avoir fini en hausse de +1.39% à 8515.4902 points lors de sa dernière séance, leCAC..."
24099,AIR LIQUIDE,v2,ok,2,"Air Liquide a livré des résultats légèrement supérieurs aux attentes, rehaussé le dividende et a livré un nouvel objectif d'accroissement des marges pour 2027.","Cac 40: Porté par le luxe et Air Liquide, le CAC 40 grimpe et signe un nouveau record vendredi 20 février 2026 à 11h37  (BFM Bourse) - L'indice parisien gagne du terrain à la mi-séance de ce vendredi ..."
24097,AIR LIQUIDE,v2,ok,2,Le groupe Air Liquide a livré des résultats 2025 légèrement supérieurs aux attentes et un nouvel objectif d'accroissement de sa marge mais aussi annoncé une hausse de plus de 12% de son dividende.,"Air liquide: Croissance qui accélère, dividende en hausse, marge qui grimpera encore en 2026 et en 2027… La valeur phare des petits porteurs Air Liquide prend 4% vendredi 20 février 2026 à 16h28  (BFM..."
24095,AIR LIQUIDE,v2,ok,2,Air Liquide a livré des résultats légèrement supérieurs aux attentes et a réhaussé le dividende.,"Cac 40: L'annulation par la Cour Suprême américaine des droits de douane réciproques, le luxe et Air Liquide catapultent le CAC 40 au-dessus des 8.500 points vendredi 20 février 2026 à 17h58  (BFM Bou..."
24077,AIR LIQUIDE,v2,ok,2,"Air Liquide a dépassé les attentes en 2025 et grimpe de 3,8%.","Wall Street vue prudente, l'Europe avance avec le luxe et les données du secteur privé Pré-ouverture  par Diana Mandia 20 février (Reuters) - Wall Street est attendue sur une note prudente et les Bour..."
24040,AIR LIQUIDE,v2,ok,2,"Air Liquide a annoncé un bon exercice 2025 et des perspectives favorables pour 2026, avec une confiance dans sa capacité à augmenter sa marge opérationnelle de 100 points de base et à réaliser une croissance du résultat net récurrent à taux de change constant.","(Zonebourse.com) - Les Bourses européennes ont clôturé la semaine sur une note positive après une nouvelle salve de résultats d'entreprises. Le CAC 40 a battu ses records à la clôture en gagnant 1,39%..."
24036,AIR LIQUIDE,v2,ok,1,"L'article mentionne que Air Liquide prévoit une nouvelle progression de ses principaux indicateurs de performance pour 2026, mais il n'y a pas de fait concret spécifique qui indique une amélioration ou une détérioration de la situation de l'entreprise.","(Agefi-Dow Jones)--Les Bourses européennes se sont redressées vendredi, bénéficiant de l'invalidation d'une grande partie des tarifs douaniers de Donald Trump par la Cour suprême et de la publication ..."
21095,AIR LIQUIDE,v2,ok,2,"La phrase 'Air Liquide signe la plus forte progression du jour (5,7%)' indique un fait concret et spécifique à l'entreprise qui est une bonne nouvelle.","Rumeurs européennes sur le CO2, Paris s'envole, Wall Street hésite Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la journée sur un gain de 1,01%, à 8 262 points, tirée par Air Liquide ( 5,7..."
21065,AIR LIQUIDE,v2,ok,2,"La phrase 'Air Liquide signe la plus forte progression du jour (5,7%)' indique un fait concret positif spécifique à Air Liquide.","(Zonebourse.com) - La  Bourse de Paris  conclut la journée sur un gain de 1,01%, à 8 262 points, tirée par  Air Liquide  ( 5,7%),  Renault  ( 5,1%) ou encore  Pernod Ricard  ( 5%). La séance a été agi..."
