article_id,company_id,nbocc,note_haiku,note_gemini,note_llama3,note_mistral,note_queen,justification_haiku,justification_gemini,note_humaine
23858,2,2,0,2,0,0,2,"Fait concret négatif spécifique à Airbus : le groupe a abaissé ses objectifs de production pour l'A320. Bien que le groupe ait publié des résultats solides en 2025 avec une hausse de bénéfice net de 23%, l'abaissement des objectifs de production constitue une mauvaise nouvelle concrète qui explique la baisse du cours de -6,8%. Le signal négatif (réduction d'objectifs) prime sur le signal positif (résultats 2025 solides).","Le groupe a publié des résultats solides en 2025, avec un bénéfice net en hausse de 23% à 5,22 milliards d'euros, ce qui constitue un fait concret positif spécifique à l'entreprise.",
9147,2,12,0,2,0,0,0,"Plusieurs faits concrets négatifs spécifiques à Airbus sont identifiés : (1) Une faille logicielle affectant environ 6.000 avions A320 nécessitant des corrections d'urgence ; (2) Des problèmes de qualité industrielle chez un fournisseur affectant les panneaux de fuselage de l'A320, retardant certaines livraisons ; (3) L'action Airbus plonge de 10% le 1er décembre, la plus forte baisse du CAC 40 ; (4) Des annulations de vols estimées à 450 durant le week-end. Bien qu'Airbus déclare ne pas s'attendre à un impact financier significatif et que certains analystes soulignent la réactivité du groupe, ces éléments constituent des faits concrets négatifs documentés qui justifient une notation négative.","L'article, bien qu'il mentionne une chute de 10% de l'action Airbus et des problèmes opérationnels (faille logicielle, problème de qualité industrielle), fournit de nombreux faits concrets positifs. Airbus déclare ne pas s'attendre à un 'impact financier significatif' sur ses comptes. La quasi-totalité des modifications logicielles a été apportée rapidement, et la source du problème de qualité a été 'identifiée et maîtrisée', avec de nouveaux panneaux conformes. Des analystes comme Jefferies et Deutsche Bank estiment que le passif financier sera 'très minime, voire inexistant' (moins de 5 millions de dollars pour une partie des correctifs logiciels) et que l'impact sera 'contenu', louant la 'réponse massive et coordonnée' et la 'réactivité' d'Airbus.",
15716,10,14,0,1,0,0,0,"Fait concret négatif spécifique à NEXANS : annonce de retards significatifs sur le projet Great Sea Interconnector (1,4 milliard d'euros), avec impact sur la date de livraison. Cette mauvaise nouvelle explique la baisse du titre en Bourse (-2% à -5%). Bien que Nexans affirme que cela n'affectera pas ses objectifs 2028, le retard sur un contrat majeur remporté en 2023 constitue une nouvelle négative concrète pour l'entreprise.","L'article présente des faits concrets négatifs significatifs pour Nexans (retards sur un projet majeur, recul du titre en Bourse, révision à la baisse des objectifs d'EBITDA ajusté 2025). Cependant, ces éléments sont explicitement contrebalancés par des faits concrets positifs : l'entreprise affirme que les retards n'auront pas d'incidences sur ses objectifs 2028 grâce à un carnet de commandes solide et des actions proactives, l'objectif de génération de trésorerie 2025 est maintenu, et des analystes (Oddo BHF) placent Nexans parmi leurs valeurs favorites pour 2026, anticipant une poursuite de la croissance et une accélération en 2027/2028 grâce à sa transformation stratégique. Les signaux positifs et négatifs concrets s'annulent exactement dans l'évaluation globale.",
23727,27,7,0,1,1,1,2,"Fait concret négatif spécifique à EssilorLuxottica : l'action chute de 3,2% en réaction à l'annonce que Apple développe des smartglasses concurrentes (projet 'N50' avec lancement prévu en 2027). Bien que l'article mentionne des points positifs antérieurs (croissance record de 18,4% au Q4, ventes de 7 millions de smartglasses en 2025), le sentiment dominant et l'événement déclencheur de cet article est la menace concurrentielle d'Apple, qui provoque une baisse immédiate du cours. Les analystes (Bernstein notamment) expriment des préoccupations sur l'intensification de la concurrence et ses impacts durables sur le marché traditionnel des lunettes d'EssilorLuxottica.","L'article mentionne une chute de 3,2% de l'action EssilorLuxottica aujourd'hui en réaction à l'annonce d'Apple (fait concret négatif). Cependant, il rapporte également une croissance record de 18,4% hors effets de changes au quatrième trimestre, une hausse de plus de 268% des ventes de 'smartglasses' en 2025, et une précédente hausse de plus de 4% de l'action suite à ces résultats (faits concrets positifs). Ces éléments positifs et négatifs s'équilibrent.",
2868,5,18,0,2,0,1,0,"L'article mentionne plusieurs faits concrets négatifs spécifiques à BNP PARIBAS ACT.A : (1) Un verdict de jury populaire de New York reconnaissant BNP Paribas complice d'exaction avec dommages et intérêts de 20,75 millions de dollars ; (2) Une perte de 8% du cours de l'action le 20 octobre suite à ce verdict ; (3) Une perte de capitalisation boursière d'environ 8 milliards d'euros ; (4) Une dégradation de conseil par Barclays de 'sous-pondérer' à 'pondération en ligne' ; (5) Un risque potentiel de class action impliquant jusqu'à 23.000 réfugiés soudanais avec estimations de coûts jusqu'à 10 milliards de dollars. Bien que Jefferies maintienne un conseil 'achat' et juge la chute exagérée, ces éléments constituent des faits concrets négatifs majeurs pour l'entreprise.","Jefferies a ajusté son objectif de cours à 95 euros contre 94 euros précédemment, et Barclays a amélioré son conseil sur le titre de 'sous-pondérer' à 'pondération en ligne', ce qui constitue une note d'analyste améliorée.",
18456,34,3,0,1,0,1,0,"Fait concret négatif spécifique à ENGIE : Berenberg abaisse sa recommandation de 'acheter' à 'conserver', ce qui constitue une dégradation du conseil d'analyste. Bien que l'objectif de cours soit relevé (17,5 → 24,5 euros), la dégradation de la recommandation est un signal négatif concret qui prime dans l'évaluation du sentiment.","L'analyste Berenberg abaisse son conseil sur Engie de 'acheter' à 'conserver' (fait concret négatif), mais relève simultanément son objectif de cours de 17,5 euros à 24,5 euros (fait concret positif). Ces signaux positifs et négatifs s'annulent, résultant en un sentiment neutre.",
467,9,2,0,1,0,1,1,"Fait concret négatif spécifique à NEOEN identifié : 'le producteur d'énergies renouvelables Neoen a quitté la cote au printemps dernier après une offre de rachat de la société de capital-investissement canadienne Brookfield pour 6,1 milliards d'euros.' Le retrait de la cote est un événement négatif du point de vue de l'actionnaire boursier, bien que l'article contextualise cette opération comme une tendance générale du marché. La phrase suivante d'Invest Securities note également que 'la bourse a du mal à apprécier la valorisation des producteurs d'énergies renouvelables depuis la hausse des taux', ce qui renforce le caractère négatif du contexte ayant conduit au retrait.","La phrase identifiée est : ""À titre d'exemple: le producteur d'énergies renouvelables Neoen a quitté la cote au printemps dernier après une offre de rachat de la société de capital-investissement canadienne Brookfield pour pour 6,1 milliards d'euros."" Cette phrase décrit un fait concret (le retrait de la cote et le montant de l'acquisition) mais ne contient pas d'information explicitement positive (hausse de résultat, contrat gagné, etc.) ou négative (baisse, perte, amende, etc.) concernant la performance ou les perspectives de Neoen. Le retrait de la cote est présenté dans l'article comme une décision stratégique aux motivations diverses, et le montant de l'acquisition n'est pas qualifié comme étant particulièrement bon ou mauvais pour l'entreprise ou ses actionnaires dans le contexte donné. La mention ultérieure de Neoen concerne l'impact de son rachat sur d'autres acteurs du secteur, et non sur Neoen elle-même.",
10680,27,7,0,1,0,0,1,"Fait concret négatif spécifique à EssilorLuxottica : l'action plonge de 5,3% (mentionné comme 'près de 5%' en titre et '5,3% en début d'après-midi' dans le corps), accusant la plus forte baisse du CAC 40. Cette baisse est directement liée à l'annonce du lancement en 2026 des lunettes d'IA de Google en partenariat avec Gentle Monster, qui intensifie la concurrence sur le segment des lunettes connectées où EssilorLuxottica était leader. Bernstein avertit également sur les 'menaces structurelles' pesant sur l'activité avec l'arrivée de nouveaux concurrents technologiques. Bien que Barclays juge la baisse 'exagérée', le fait concret dominant est la chute du cours boursier et l'intensification de la concurrence.","L'article mentionne une baisse concrète de 5,3% de l'action EssilorLuxottica suite à l'annonce de Google. Cependant, il cite également des faits concrets positifs tels que la croissance de 11,4% hors effets de changes au T3 2025 et une hausse de 12,98% de l'action sur une séance. De plus, des analystes comme Bank of America ont relevé leur opinion sur le titre, et Barclays juge la baisse actuelle 'exagérée' tout en prévoyant 4,5 milliards d'euros de revenus dans les 'wearables' à l'horizon 2030 et soulignant un 'solide avantage concurrentiel'. Ces signaux positifs et négatifs concrets s'annulent mutuellement dans l'évaluation globale présentée par l'article.",
28717,27,2,1,2,1,1,2,"La phrase mentionnant EssilorLuxottica ('EssilorLuxottica prolonge son accord de licence avec...') est tronquée et ne contient aucun fait concret identifiable. Le titre est incomplet et ne permet pas d'évaluer si cette prolongation d'accord est positive, négative ou simplement neutre. Absence de fait concret spécifique exploitable.","La phrase 'EssilorLuxottica prolonge son accord de licence' est un fait concret et spécifique à l'entreprise, indiquant la continuité et la stabilité de ses activités commerciales, ce qui est une nouvelle positive.",
5562,7,2,1,2,2,1,2,"Carrefour est mentionné une seule fois dans l'article : 'L'indice parisien est notamment tiré par Société Générale (+2,2%), Kering (+2,1%) et Carrefour (+2%).' Il s'agit d'une simple citation factuelle du mouvement de cours (+2%) dans un contexte de hausse générale du CAC 40. Aucun fait concret spécifique à Carrefour (résultats, contrat, annonce, dégradation, etc.) n'est mentionné. La hausse du cours est un mouvement de marché général lié à la rotation vers les actions européennes, non à une information spécifique à l'entreprise.",L'indice parisien est notamment tiré par [...] Carrefour (+2%).,
