article_id,entreprise,prompt_version,statut,note_llm,justification,longueur_caracteres,longueur_mots,texte_extrait
30326,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide,676,115,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.65% jeudi 26 mars 2026 à 09900  (BFM Bourse) - Après avoir fini en hausse de +1.33% à 7846.5498 points lors de sa dernière séance, leCAC 40..."
30124,AIR LIQUIDE,v7,ok,2,Air Liquide monte de près de 2% après avoir déclaré prévoir d'allouer des volumes d'hélium provenant d'autres régions du monde alors qu'une pénurie d'hélium à court terme est attendue en raison du conflit au Moyen-Orient.,10914,1746,"Wall Street vue en hausse, l'Europe rebondit aussi, espoirs d'une fin imminente de la guerre en Iran Pré-ouverture  par Claude Chendjou PARIS, 25 mars (Reuters) - Wall Street est attendue en hausse me..."
29943,AIR LIQUIDE,v7,ok,2,"Air Liquide a progressé de 2,17%",6860,1064,L'Europe boursière s'en sort bien dans un climat géopolitique toujours pesant Fermeture  (Zonebourse.com) - Les marchés actions européens ont terminé cette séance de mardi sur une meilleure note qu'es...
24666,AIR LIQUIDE,v7,ok,2,Air Liquide améliore sa marge opérationnelle en 2025,653,114,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.22% lundi 23 février 2026 à 09h00  (BFM Bourse) - Après avoir fini en hausse de +1.39% à 8515.4902 points lors de sa dernière séance, leCAC..."
24099,AIR LIQUIDE,v7,ok,2,"Air Liquide a livré des résultats légèrement supérieurs aux attentes, rehaussé le dividende et a livré un nouvel objectif d'accroissement des marges pour 2027",2094,334,"Cac 40: Porté par le luxe et Air Liquide, le CAC 40 grimpe et signe un nouveau record vendredi 20 février 2026 à 11h37  (BFM Bourse) - L'indice parisien gagne du terrain à la mi-séance de ce vendredi ..."
24097,AIR LIQUIDE,v7,ok,2,"hausse de dividende, croissance accélérée, marge qui grimpera encore en 2026 et en 2027",6770,1027,"Air liquide: Croissance qui accélère, dividende en hausse, marge qui grimpera encore en 2026 et en 2027… La valeur phare des petits porteurs Air Liquide prend 4% vendredi 20 février 2026 à 16h28  (BFM..."
24095,AIR LIQUIDE,v7,ok,2,"Résultats légèrement supérieurs aux attentes, rehaussement du dividende et nouvel objectif d'accroissement des marges pour 2027",3873,604,"Cac 40: L'annulation par la Cour Suprême américaine des droits de douane réciproques, le luxe et Air Liquide catapultent le CAC 40 au-dessus des 8.500 points vendredi 20 février 2026 à 17h58  (BFM Bou..."
24077,AIR LIQUIDE,v7,ok,2,"Air Liquide a dépassé les attentes en 2025 et grimpe de 3,8%",13442,2036,"Wall Street vue prudente, l'Europe avance avec le luxe et les données du secteur privé Pré-ouverture  par Diana Mandia 20 février (Reuters) - Wall Street est attendue sur une note prudente et les Bour..."
24040,AIR LIQUIDE,v7,ok,2,Air Liquide s'est démarqué en tête du CAC 40 à la faveur d'un bon exercice 2025 et de perspectives favorables.,6923,1147,"(Zonebourse.com) - Les Bourses européennes ont clôturé la semaine sur une note positive après une nouvelle salve de résultats d'entreprises. Le CAC 40 a battu ses records à la clôture en gagnant 1,39%..."
24036,AIR LIQUIDE,v7,ok,2,Air Liquide prévoit une poursuite de la hausse de sa marge opérationnelle en 2026,4803,768,"(Agefi-Dow Jones)--Les Bourses européennes se sont redressées vendredi, bénéficiant de l'invalidation d'une grande partie des tarifs douaniers de Donald Trump par la Cour suprême et de la publication ..."
21095,AIR LIQUIDE,v7,ok,2,"Air Liquide signe la plus forte progression du jour (5,7%), suivi de près par le secteur auto Renault (5,1%) ou encore Pernod Ricard (5%).",13928,2195,"Rumeurs européennes sur le CO2, Paris s'envole, Wall Street hésite Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la journée sur un gain de 1,01%, à 8 262 points, tirée par Air Liquide ( 5,7..."
21065,AIR LIQUIDE,v7,ok,2,"Air Liquide signe la plus forte progression du jour (5,7%), suivi de près par le secteur auto Renault (5,1%), Stellantis (3,4%) ou encore Michelin (3,4%).",7055,1125,"(Zonebourse.com) - La  Bourse de Paris  conclut la journée sur un gain de 1,01%, à 8 262 points, tirée par  Air Liquide  ( 5,7%),  Renault  ( 5,1%) ou encore  Pernod Ricard  ( 5%). La séance a été agi..."
17053,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide n'est identifiable dans l'article.,3225,478,"Valeur défensive par excellence du CAC 40, Air Liquide continue d’évoluer dans un environnement contrasté, mêlant visibilité de long terme et pressions conjoncturelles à court terme. Le spécialiste de..."
16867,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide n'est identifiable dans l'article.,3225,478,"Valeur défensive par excellence du CAC 40, Air Liquide continue d’évoluer dans un environnement contrasté, mêlant visibilité de long terme et pressions conjoncturelles à court terme. Le spécialiste de..."
16063,AIR LIQUIDE,v7,ok,1,aucune information spécifique à Air Liquide n'est mentionnée,1327,189,"Point recommandations des analystes:  Air Liquide, Argan, Carmila, Covivio, Dassault Aviation, Totalenergies, Unibail-Rodamco-Westfield jeudi  8 janvier 2026 à 08h59  (BFM Bourse) - Les analystes affi..."
15891,AIR LIQUIDE,v7,ok,2,"Citi toujours à l'achat, réduit son objectif de cours à 195 euros contre 208 euros.",1369,204,"Point recommandations des analystes:  Air Liquide, Arcelormittal, Axa, Bouygues, Kering, Rexel, Sodexo mercredi  7 janvier 2026 à 08h56  (BFM Bourse) - Les analystes affinent leurs recommandations ce ..."
14991,AIR LIQUIDE,v7,ok,2,Augmentation prévue de la marge opérationnelle et bénéfice net récurrent,1564,245,"(AOF) -  Air Liquide  a compilé des éléments afin de faciliter la modélisation financière de ses résultats pour l’exercice 2025. Le spécialiste des gaz industriels, médicaux et technologiques a rappel..."
14260,AIR LIQUIDE,v7,ok,1,aucun fait concret positif ou négatif spécifique à Air Liquide,17718,2553,"Cac 40: Entrées de Dassault Aviation, Amundi ou Spie...  Voici à quoi pourrait ressembler la composition du CAC 40 en 2030 dimanche 28 décembre 2025 à 07h00  (BFM Bourse) - Depuis 1987, leCAC 40a eu d..."
9905,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide ne peut être identifié dans l'article.,9967,1544,"CAC 40: en hausse modeste avant la publication de l'indice PCE aux Etats-Unis Ouverture  (Zonebourse.com) - La Bourse de Paris progresse de 0,3% ce matin, autour des 8150 points, tirée par Edenred ( 2..."
9901,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide,8683,1422,"CAC40 : stagne vers 8.125,, semaine 'flat' ,le PCE US ne change rien Pré-clôture  (Zonebourse.com) - La Bourse de Paris continue de somnoler et le CAC40 grappille moins de 0,1% (autour des 8125 points..."
9899,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide ne peut être identifié dans l'article.,8710,1431,"CAC40 : finit la semaine en léger repli, cela plombe la semaine Pré-clôture  (Zonebourse.com) - La Bourse de Paris revient à la case départ le CAC40 (-0,1%) menace de repasser dans le rouge sous 8.120..."
9898,AIR LIQUIDE,v7,ok,1,aucun fait concret positif ou négatif spécifique à Air Liquide,8006,1283,"CAC 40: en repli symbolique après des statistiques US sans grande surprise Fermeture  (Zonebourse.com) - Après avoir grappillé un timide 0,5% à mi-séance, la Bourse de Paris conclut la journée sur un ..."
6318,AIR LIQUIDE,v7,ok,2,mise en service de ses premiers poids lourds alimentés à l'hydrogène aux Pays-Bas,1264,191,"(Zonebourse.com) -  Air Liquide  annonce la mise en service de ses premiers poids lourds alimentés à l'hydrogène aux Pays-Bas.    Les deux premiers camions MAN hTGX, équipés de moteurs à combustion in..."
5562,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide ne peut être identifié dans l'article.,11397,1734,"CAC 40: poursuit son 'rally' vers des sommets inexplorés Ouverture  (Zonebourse.com) - La Bourse de Paris poursuit son envolée et gagne 0,5% à 8285 points, après avoir signé un nouveau record absolu q..."
5559,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide ne peut être identifié dans l'article.,9968,1528,"CAC40 : réduit ses gains mais reste largement leader en Europe Pré-clôture  (Zonebourse.com) - La Bourse de Paris a inscrit ce midi un nouveau doublé record, avec un CAC40 à 8.314Pts et un CAC 'GR à 2..."
5558,AIR LIQUIDE,v7,ok,2,"Air Liquide fait part de la mise en service réussie de la première unité pilote au monde de craquage d'ammoniac à l'échelle industrielle, d'une capacité de conversion d'ammoniac en hydrogène de 30 tonnes par jour, dans le port d'Anvers-Bruges, en Belgique.",10500,1623,"CAC40 : dans le rouge après un nouveau record à 8.314, le Nasdaq pèse Pré-clôture  (Zonebourse.com) - Cette séance de jeudi restera historique même si la bourse de Paris inverse la vapeur (-0,1% vers ..."
5557,AIR LIQUIDE,v7,ok,1,"L'article mentionne que Air Liquide a mis en service réussie la première unité pilote au monde de craquage d'ammoniac à l'échelle industrielle, mais il n'y a pas d'information spécifique sur les résultats ou les perspectives financières de l'entreprise.",10814,1687,"CAC 40: termine en légère baisse après avoir signé un nouveau record Fermeture  (Zonebourse.com) - Après une matinée en fanfare qui lui a permis de signer un nouveau record historique, à 8314 points (..."
5403,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide ne peut être identifié dans l'article.,700,99,"Point recommandations des analystes: Air Liquide, Euronext, Arkema, Legrand mercredi 12 novembre 2025 à 08h50  (BFM Bourse) - Les analystes affinent leurs conseils surAir Liquide, Euronext,Arkema,Legr..."
3773,AIR LIQUIDE,v7,ok,1,Aucun fait concret positif ou négatif spécifique à Air Liquide n'est identifiable,11852,1892,"CAC 40: efface une partie de ses pertes mais reste nettement en rouge Fermeture  (Zonebourse.com) - Après avoir lâché jusqu'à près de 1,8% en fin de matinée (vers 7965 points), la Bourse de Paris est ..."
2851,AIR LIQUIDE,v7,ok,2,"Air Liquide a dépassé les attentes avec une croissance de 1,9% au troisième trimestre et a confirmé ses perspectives.",3573,536,"Air liquide: Valeur phare des petits porteurs, Air Liquide surpasse les attentes et grimpe en Bourse mardi 28 octobre 2025 à 16h51  (BFM Bourse) - Le spécialiste des gaz industriels a livré une croiss..."
2848,AIR LIQUIDE,v7,ok,2,relèvement d'objectif par Deutsche Bank,553,86,"Point recommandations des analystes: Sodexo, Eurofins, Air Liquide mercredi 29 octobre 2025 à 08h45  (BFM Bourse) - Les analystes affinent leurs conseils surSodexo, Eurofins,Air Liquide.  Sodexo (cour..."
2847,AIR LIQUIDE,v7,ok,2,Air Liquide augmente de 2% son CA trimestriel en comparable,721,118,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.22% mercredi 29 octobre 2025 à 09h00  (BFM Bourse) - Après avoir fini en baisse de -0.27% à 8216.5801 points lors de sa dernière séance, le..."
2789,AIR LIQUIDE,v7,ok,1,"Dassault Systèmes et Air Liquide (-2,1%)",11837,1849,"CAC40 : 8ème séance de stagnation vers 8.200, W-Street dopé par Nvidia Pré-clôture  (Zonebourse.com) - La lourdeur l'emporte à la Bourse de Paris qui s'effrite de -0,2% et revient au contact des 8200,..."
