article_id,company_id,strate,nbocc,note_haiku,note_gemini,note_llama3,note_mistral,note_queen,mistral_variation,mistral_autre_fait,mistral_reco,justification_haiku,justification_mistral,note_humaine,commentaire
284,15,regle_contre_consensus,2,2,2,1,1,1.0,,False,aucune,"TotalEnergies annonce un accord concret de cession d'une partie de sa participation dans le projet Bifrost à CarbonVault. C'est un fait positif spécifique : la réalisation d'une transaction stratégique dans le domaine du stockage de CO2, alignée avec les objectifs de transition énergétique du groupe. Cet accord représente une bonne nouvelle pour l'activité du groupe.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à TotalEnergies.,,
115,19,regle_contre_consensus,8,0,0,0,1,0.0,,False,aucune,"L'article contient plusieurs faits concrets négatifs spécifiques à Sanofi : (1) 'Le groupe a récemment déçu les marchés après la publication de résultats jugés en retrait concernant l'un de ses traitements phares en développement' — déception clinique concrète ; (2) 'Une perte de confiance s'est traduite par un repli boursier notable' — confirmation d'impact négatif ; (3) 'Sanofi n'a créé aucune valeur pour l'actionnaire sur une période de 10 ans. Au contraire, on se situe même 10 % en dessous de la valorisation du groupe à l'époque' — performance négative documentée ; (4) 'la situation technique est plutôt délicate puisque nous sommes posés sur le support technique important des 76,5 euros. Un niveau qui s'il venait à céder pourrait nous entraîner rapidement vers le palier inférieur' — signal technique négatif. Ces faits concrets justifient une note NEGATIVE.",L'article mentionne Sanofi mais ne contient pas de faits concrets positifs ou négatifs spécifiques à l'entreprise.,,
21432,21,regle_contre_consensus,6,2,2,2,1,2.0,,False,aucune,"L'article mentionne un fait concret et spécifique à Capgemini : l'annonce du renforcement de son partenariat stratégique avec Google Cloud pour fournir des solutions cloud souveraines sécurisées. Ceci constitue une bonne nouvelle pour l'entreprise (expansion de partenariat, nouvelles capacités commerciales en IA et cloud souverain). Le ton est positif et l'information est factuelle et spécifique à Capgemini.","L'article mentionne directement Capgemini et annonce un renforcement de son partenariat stratégique avec Google Cloud pour fournir des solutions cloud souveraines sécurisées. Cependant, il n'y a pas de fait concret spécifique à Capgemini qui soit une bonne ou une mauvaise nouvelle.",,
9075,15,regle_avec_consensus,2,1,1,1,1,1.0,,False,aucune,"TotalEnergies est mentionné factuellement : signature d'un accord de vente d'une participation de 40% dans des permis d'exploration au Nigeria à Chevron via Star Deep Water Petroleum Limited. Il s'agit d'une transaction commerciale ordinaire (cession d'actif) sans caractère clairement positif ou négatif. Aucune variation de cours n'est fournie pour TotalEnergies, aucune recommandation d'analyste n'est mentionnée. Le fait concret existe mais ne porte pas de jugement de valeur intrinsèque (ni bonne ni mauvaise nouvelle).",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à TotalEnergies.,,
6557,2,regle_contre_consensus,4,2,2,2,1,2.0,,False,aucune,"L'article mentionne plusieurs commandes concrètes et spécifiques à Airbus : Etihad Airways achète six A330-900, flydubai signe un protocole d'accord pour 150 avions A321neo, et Airbus Helicopters signe un contrat avec le Maroc pour dix H225M. Ces faits concrets positifs (nouvelles commandes) constituent une bonne nouvelle pour l'activité d'Airbus.",L'article ne contient pas de faits concrets spécifiques à Airbus qui soient positifs ou négatifs.,,
128,15,regle_contre_consensus,2,2,2,1,1,1.0,,False,aucune,TotalEnergies annonce une nouvelle phase de partenariat avec Cognite pour le déploiement de sa plateforme d'IA sur trois ans sur l'ensemble de ses actifs amonts mondiaux. C'est un fait concret positif spécifique à l'entreprise : expansion d'un partenariat stratégique en intelligence artificielle industrielle.,L'article ne contient pas d'informations spécifiques sur TotalEnergies,,
3820,21,modele_contre_consensus,8,2,2,1,1,2.0,,False,amelioree,"Fait concret positif spécifique à CAPGEMINI : Citigroup reprend le suivi de la valeur avec une recommandation à 'acheter', ce qui constitue une bonne nouvelle (nouvelle couverture analytique avec conseil positif).",L'article mentionne Capgemini mais ne contient pas de faits concrets spécifiques à l'entreprise,,
23853,8,regle_avec_consensus,10,1,1,2,1,1.0,,False,aucune,"L'article contient des faits concrets sur GTT : résultats 2025 record (Ebitda +40%, CA +25%) et objectifs 2026 en repli. Cependant, ces éléments se neutralisent exactement : les excellentes performances 2025 sont immédiatement contrebalancées par des prévisions 2026 plus prudentes avec recul attendu du chiffre d'affaires. Aucun fait isolé clairement positif ou négatif ne domine. L'article est factuel et équilibré sans signal directif net.",L'article mentionne Gaztransport & Technigaz SA mais ne contient pas de faits concrets positifs ou négatifs spécifiques à l'entreprise.,,
8365,13,modele_contre_consensus,4,0,0,1,1,0.0,,False,maintenue,"Fait concret négatif spécifique à SOITEC : JP Morgan réduit son objectif de cours de 40 euros à 33 euros, soit une baisse de 17,5%. Bien que la recommandation reste à neutre (maintenue), la réduction significative de l'objectif de cours constitue une mauvaise nouvelle concrète pour l'entreprise.",L'article ne contient pas de faits concrets spécifiques à Soitec,,
7720,2,regle_contre_consensus,2,2,2,2,1,1.0,,False,aucune,"Airbus s'est vu attribuer un contrat concret pour OmanSat-1 par Space Communication Technologies (SCT), l'opérateur national de satellites d'Oman. Il s'agit d'un fait positif et spécifique : remport d'un contrat pour un satellite de télécommunications de nouvelle génération OneSat avec système associé. C'est une bonne nouvelle d'activité pour Airbus.",L'article ne contient pas de faits concrets spécifiques à Airbus qui soient positifs ou négatifs.,,
