article_id,entreprise,prompt_version,statut,note_llm,justification,longueur_caracteres,longueur_mots,texte_extrait
2790,THALES,v7,ok,1,"Thales est mentionné uniquement pour son repli de cours (-2,3%) dans un contexte de stagnation du CAC40, sans fait concret positif ou négatif lié à l'activité de l'entreprise.",11185,1749,"CAC40 : insensible au 4ème record consécutif (+'gap') du Nasdaq Pré-clôture  (Zonebourse.com) - Il ne se passe rien à la Bourse de Paris qui reste stable autour des 8210 , pour la 8ème séance consécut..."
2789,THALES,v7,ok,1,"L'article mentionne que Thales est ""plombé par replis"" et affiche une baisse de 2,6% de son cours, ce qui est un fait concret négatif.",11837,1849,"CAC40 : 8ème séance de stagnation vers 8.200, W-Street dopé par Nvidia Pré-clôture  (Zonebourse.com) - La lourdeur l'emporte à la Bourse de Paris qui s'effrite de -0,2% et revient au contact des 8200,..."
2788,THALES,v7,ok,1,"Thales a pénalisé la Bourse de Paris avec un repli de 2,4% de son cours, ce qui est un fait concret négatif.",9559,1482,"CAC 40: apathique tandis que New York atteint de nouveaux sommets Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la séance sur un repli de 0,19%, à 8200 points, pénalisée par Thales et Air L..."
1992,THALES,v7,ok,2,"L'article mentionne qu'Oddo BHF relève son objectif de cours pour Thales, que le groupe a enregistré de solides prises de commandes au T3, et qu'Oddo BHF modélise une vigoureuse croissance organique de 9.3%.",878,130,Oddo BHF relève sa cible sur Thales Publié le 13 Octobre 2025  (Zonebourse.com) - Oddo BHF maintient sa recommandation de 'Surperformance' sur Thales et relève son objectif de cours de 275 à 290 euros...
1926,THALES,v7,ok,2,"Oddo BHF a relevé son objectif de cours pour Thales et le groupe a enregistré de solides prises de commandes au T3, avec une croissance organique modélisée de 9.3%.",904,135,"(Zonebourse.com) - Oddo BHF maintient sa recommandation de 'Surperformance' sur  Thales  et relève son objectif de cours de 275 à 290 euros. Selon le broker, le groupe a enregistré de solides prises d..."
379,THALES,v7,ok,2,"Thales a annoncé un partenariat avec Sekoia.io pour renforcer la cybersécurité des organisations et offrir une solution innovante, ce qui est un fait concret positif lié à son activité.",7731,1202,"CAC 40: sur la défensive, pénalisé par Michelin et le repli du luxe Fermeture  (Zonebourse.com) - Après avoir gagné jusqu'à près de 0,6% en début d'après-midi, le CAC 40 a vu ses gains s'éroder en sec..."
283,THALES,v7,ok,2,"Kepler Cheuvreux a relevé sa recommandation sur Thales à ""acheter"" contre ""conserver"", ce qui est un fait concret positif.",13446,2134,"Optimisme en vue à Wall Street, l'Europe portée par la tech Pré-ouverture  par Claude Chendjou PARIS (Reuters) -     Wall Street est attendue en hausse jeudi malgré un deuxième jour de ""shutdown"" aux ..."
279,THALES,v7,ok,1,"L'article mentionne une hausse du cours de l'action Thales (+3,4%) mais ne fournit aucun fait concret spécifique à l'entreprise (résultat, contrat, recommandation d'analyste) pour justifier cette hausse.",6887,1065,"CAC 40: franchit allégrement les 8000 points, tracté par Stellantis Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la séance en nette hausse avec un gain de 1,13% à 8056 points, tirée par St..."
29967,Teleperformance SE,v7,ok,0,"Morgan Stanley a abaissé sa recommandation sur Teleperformance de ""surpondérer"" à ""pondération en ligne"" et a réduit son objectif de cours de 112 euros à 53 euros.",617,89,"Point recommandations des analystes: Teleperformance, Airbus, Renault mardi 24 mars 2026 à 09916  (BFM Bourse) - Les analystes affinent leurs conseils ce mardi surTeleperformance,Airbus,Renault.  Tele..."
29946,Teleperformance SE,v7,ok,0,"Morgan Stanley a abaissé sa recommandation sur Teleperformance. Citi a ramené sa recommandation d'achat à neutre et a dégradé la valeur de ""surpondérer"" à ""pondération en ligne"", abaissant son objectif de cours de 112 euros à 53 euros.",11762,1859,"Imbroglio USA-Iran, les marchés européens en quête de direction après les PMI Mi-séance  (Zonebourse.com) - Au 25ème jour du conflit au Moyen-Orient, l'incertitude géopolitique demeure. Vers 12h, le C..."
29943,Teleperformance SE,v7,ok,0,"JP Morgan a dégradé sa recommandation de ""surpondérer"" à ""pondération en ligne"" et a ramené son objectif de cours de 112 à 53 EUR.",6860,1064,L'Europe boursière s'en sort bien dans un climat géopolitique toujours pesant Fermeture  (Zonebourse.com) - Les marchés actions européens ont terminé cette séance de mardi sur une meilleure note qu'es...
25417,Teleperformance SE,v7,ok,0,"Teleperformance a prévenu qu'il dégagera moins de cash cette année, a accusé un repli de ses revenus au T4 (-0,6% en comparable) et sur l'ensemble de 2025 (-0,7% en publié), a vu ses services spécialisés plonger de 10,9%, son résultat opérationnel récurrent et sa marge baisser en 2025, et anticipe un flux de trésorerie en baisse pour 2026. Ces multiples faits concrets sont négatifs pour l'entreprise.",7429,1115,"Teleperformance: Alors qu'il a nommé un expert de l'IA à sa tête pour redresser la barre, l'ex-Teleperformance TP prévient qu'il dégagera moins de cash cette année, l'action reperd 5% vendredi 27 févr..."
25178,Teleperformance SE,v7,ok,2,"Le groupe a atteint l'ensemble de ses objectifs financiers 2025, a enregistré un cash-flow net disponible record et propose une augmentation de son dividende. Bien qu'il y ait un recul des Services Spécialisés dû à un non-renouvellement de contrat et des coûts de restructuration prévus, ces éléments sont contrebalancés par les performances globales et les perspectives stratégiques positives.",4475,682,(ABC Bourse) - Changement de gouvernance et cap maintenu sur l’intelligence artificielle :  Teleperformance  ouvre l’année 2026 avec une transition majeure à sa tête. Le groupe a dévoilé ses résultats...
25170,Teleperformance SE,v7,ok,0,"L'entreprise a publié des résultats en baisse pour 2025, avec un résultat net, un Ebita, une marge et un chiffre d'affaires (en données publiées) en diminution. Le chiffre d'affaires a également manqué les attentes des analystes.",2973,445,"(Agefi-Dow Jones)--Le gestionnaire de centres d'appels TP a annoncé jeudi la nomination de Jorge Amar en tant que directeur général à compter du 16 mars prochain, après avoir publié des résultats en b..."
20923,Teleperformance SE,v7,ok,0,"Teleperformance a chuté de près de 6% et a perdu 5,8% en Bourse suite à l'annonce d'un nouvel outil d'IA.",3529,521,"Capgemini: À cause d'un nouvel outil d'IA d'Anthropic, Capgemini et Publicis ont plongé de 9% en Bourse et Teleperformance a chuté de près de 6% mardi  3 février 2026 à 18h36  (BFM Bourse) - La start-..."
19565,Teleperformance SE,v7,ok,0,"CIC a abaissé sa recommandation sur Teleperformance d'acheter à neutre, avec un objectif de cours ramené de 100 à 70 EUR, ce qui constitue un fait concret négatif.",7128,1127,"Les marchés européens stables avant la Fed et une pluie de résultats Ouverture  (Zonebourse.com) - Dans un contexte géopolitique toujours pesant, les Bourses européennes évoluent autour de l'équilibre..."
15719,Teleperformance SE,v7,ok,0,"Morgan Stanley maintient sa recommandation à surpondérer mais réduit son objectif de cours de 128 euros à 115 euros, ce qui est un fait concret négatif pour l'entreprise.",2396,377,"Point recommandations des analystes: Airbus,  ADP, Dassault Aviation, Eiffage, Eurofins Scientific... mardi  6 janvier 2026 à 08h51  (BFM Bourse) - Les analystes affinent leurs recommandations ce mard..."
14260,Teleperformance SE,v7,ok,0,Teleperformance a quitté le CAC 40 en septembre 2025 suite à plusieurs publications décevantes et des craintes sur l'obsolescence de son modèle économique due à l'IA générative.,17718,2553,"Cac 40: Entrées de Dassault Aviation, Amundi ou Spie...  Voici à quoi pourrait ressembler la composition du CAC 40 en 2030 dimanche 28 décembre 2025 à 07h00  (BFM Bourse) - Depuis 1987, leCAC 40a eu d..."
12594,Teleperformance SE,v7,ok,1,"L'article mentionne Teleperformance et sa variation de cours de 0,00%, ainsi qu'un volume d'échanges important, mais ne contient aucun fait concret positif ou négatif concernant l'activité, les résultats, les contrats ou les notes d'analystes de l'entreprise.",1496,234,"Au cours de cette séance boursière du vendredi 19 décembre 2025, des volumes d'échanges particulièrement élevés ont été détectés sur le marché français. Aujourd'hui, c'est  l'action Unibail Rodamco We..."
7683,Teleperformance SE,v7,ok,1,"L'article mentionne un volume d'échanges important et une légère hausse du cours de l'action de Teleperformance SE, mais ne contient aucun fait concret positif ou négatif lié à l'activité ou aux résultats de l'entreprise.",1589,251,"Au cours de cette séance boursière du lundi 24 novembre 2025, des volumes d'échanges particulièrement élevés ont été détectés sur le marché français. Aujourd'hui, c'est  l'action Argan  qui se disting..."
5801,Teleperformance SE,v7,ok,0,"Deutsche Bank a abaissé son objectif de cours pour Teleperformance de 105 euros à 70 euros, ce qui est un fait concret négatif.",1274,193,"Point recommandations des analystes: Société Générale, Pluxee, Alstom, Engie, Edenred, Rexel, Teleperformance vendredi 14 novembre 2025 à 09h38  (BFM Bourse) - Les analystes affinent leurs conseils su..."
5198,Teleperformance SE,v7,ok,0,"Alphavalue abaisse son opinion d'acheter à accumuler et sabre son cours cible à 72,40 euros, contre 97,20 euros précédemment.",1395,203,"Point recommandations des analystes: Air France-KLM, Amundi, Arkema, Solvay, Teleperformance.... mardi 11 novembre 2025 à 08h47  (BFM Bourse) - Les analystes affinent leurs recommandations ce mardi 11..."
3935,Teleperformance SE,v7,ok,0,"Teleperformance a revu à la baisse ses objectifs 2025 pour la croissance organique, la marge d'EBITA courant et le cash-flow net disponible. De plus, l'activité de services spécialisés est en recul en raison de la non-reconduction d'un contrat important.",2096,337,"(Zonebourse.com) - Au troisième trimestre 2025,  Teleperformance  a réalisé un chiffre d'affaires de 2507 millions d'euros, en repli de 0,5% en données publiées, mais en progression de 1,5% à données ..."
14,Teleperformance SE,v7,ok,1,"Le résultat net a baissé de 291 à 249 millions d'euros, mais le chiffre d'affaires a légèrement progressé de 0,8%. La direction maintient un objectif de croissance annuelle de 4 à 6% pour 2026-2028. Le groupe est jugé très largement rentable avec un endettement maîtrisé et une politique de retour aux actionnaires généreuse, ce qui tempère les craintes des investisseurs.",4101,619,"Teleperformance continue d'être vu avec une très grande méfiance par les investisseurs qui sont persuadés que l'intelligence artificielle va petit à petit tuer son modèle d'activité.   Ainsi, après av..."
